2024-05-30 12:20:47 [main] INFO  com.lnt.ptd.redisToDB.Main - Starting the program
2024-05-30 12:31:41 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 76 milliseconds at 2024-05-30T12:31:41.663931500
2024-05-30 12:31:41 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 98 milliseconds at 2024-05-30T12:31:41.731367500
2024-05-30 12:31:41 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 72 milliseconds at 2024-05-30T12:31:41.733370400
2024-05-30 12:31:41 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 59 milliseconds at 2024-05-30T12:31:41.779910500
2024-05-30 12:31:41 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 28 milliseconds at 2024-05-30T12:31:41.807435800
2024-05-30 12:31:41 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 16 milliseconds at 2024-05-30T12:31:41.843433
2024-05-30 12:31:41 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 19 milliseconds at 2024-05-30T12:31:41.889260600
2024-05-30 12:31:42 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 18 milliseconds at 2024-05-30T12:31:42.836593
2024-05-30 12:31:42 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 20 milliseconds at 2024-05-30T12:31:42.837827200
2024-05-30 12:31:42 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 33 milliseconds at 2024-05-30T12:31:42.860112300
2024-05-30 12:31:42 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 16 milliseconds at 2024-05-30T12:31:42.910761700
2024-05-30 12:31:42 [pool-5-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 33 milliseconds at 2024-05-30T12:31:42.930077300
2024-05-30 12:31:42 [pool-4-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 54 milliseconds at 2024-05-30T12:31:42.930077300
2024-05-30 12:31:42 [pool-5-thread-1] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_analog_data in 54 milliseconds at 2024-05-30T12:31:42.930077300
2024-05-30 12:31:42 [pool-4-thread-2] INFO  com.lnt.ptd.redisToDB.MessageProcessor - Data inserted from thread 0 into table lntds_discrete_data in 65 milliseconds at 2024-05-30T12:31:42.996101900
